new entry "Projectile_Throw_BloodBag"
type "SpellData"
data "SpellType" "Projectile"
data "Cooldown" "OncePerTurn"
data "SpellProperties" "ApplyStatus(WET,100, 3); GROUND:CreateSurface(5,0, Blood);"
data "TargetFloor" "-1"
data "TargetRadius" "12"
data "AreaRadius" "5"
data "ExplodeRadius" "5"
data "ProjectileCount" "1"
data "Trajectories" "a82d0147-9ecd-455a-a9ef-c6d2b8119777,48362660-28e7-2af1-62fe-49fc4cb6cc70,bfd9fe10-124d-6b01-53e0-824346204638"
data "Icon" "Spell_MagicJar"
data "DisplayName" "hc220d2a0g3cdcg4690ga8fcge232c1f9bdd8"
data "Description" "h4517bdfcg8707g4473g87cegcc8b97b3f9ef"
data "TooltipOnSave" ""
data "PreviewCursor" "Cast"
data "CastTextEvent" "Cast"
data "CycleConditions" "Enemy() and not Dead()"
data "UseCosts" "BonusActionPoint:1;BloodDie:1"
data "SpellAnimation" "b1befe57-ee3e-4126-8c9d-3b6cec7eb3f4,,;f2803838-31cf-471b-85d1-92fa2d0eb7c2,,;4be0751c-9fca-4c35-9337-6bf8a321c516,,;86b52093-596c-4054-bb1d-2dbdfcdc4347,,;5b4905be-03fd-42fb-9652-c2d1c772f4d3,,;9673b7c5-9928-44ce-ae4f-a85be2683981,,;e81ffae4-6be0-47fd-8502-48b9961004e9,,;,,;,,"
data "VerbalIntent" "Utility"
data "SpellFlags" "HasHighGroundRangeExtension;RangeIgnoreVerticalThreshold;TrajectoryRules;AddFallDamageOnLand;IgnoreSilence"
data "SpellActionType" "Throw"
data "HitAnimationType" "MagicalDamage_External"
data "PrepareEffect" "ede0c318-7f5d-43b4-bc73-a50e0a528d55"
data "SpellAnimationType" "Throwing"
data "DamageType" "Bludgeoning"
data "SpellSoundMagnitude" "Small"
data "Sheathing" "Sheathed"


