new entry "Shout_Melt_Into_Blood"
type "SpellData"
data "SpellType" "Shout"
data "SpellProperties" "ApplyStatus(INVISIBILITY,100,10)"
data "TargetConditions" "Self()"
data "Icon" "PassiveFeature_Generic_Explosion"
data "SpellProperties" "ApplyStatus(CLOAK_OF_SHADOWS_MONK,100,1)"
data "DisplayName" "h9edc5297g58c0g4b7dg8e45g59e03f646c93;2"
data "TooltipStatusApply" "ApplyStatus(CLOAK_OF_SHADOWS_MONK,100,1)"
data "PrepareSound" "Vocal_Component_Shadow_Monk"
data "CastSound" "Spell_Cast_Monk_CloakofShadows_L1to3"
data "TargetSound" "Vocal_Component_Stop"
data "UseCosts" "BonusActionPoint:1"
data "SpellAnimation" "85c2d091-d84a-44c1-8361-20c5ce7149f1,,;,,;c779f93f-9f56-4044-83e3-fd640846a6f4,,;162e8b42-0b67-4415-ad00-b94f0c84026f,,;c70b4b2a-0a53-47e2-a455-b8cf2e7cd862,,;,,;992158f7-2b13-4519-95de-868325b57443,,;,,;,,"
data "SpellFlags" "Stealth;Invisible"
data "RequirementConditions" "InSurface('SurfaceBlood',context.Source)"
data "PrepareEffect" "a0458d31-f8ef-419a-8708-5715c81e91d3"
data "CastEffect" "c711b520-0c22-4972-9bd0-050bfc74890d"

